burger restaurant,Burgers
brazilian restaurant,Other
caribbean restaurant,Other
greek restaurant,Other
southern / soul food restaurant,Other
fast food restaurant,American
pizza place,Pizza
breakfast spot,Cafe
cuban restaurant,Other
deli / bodega,Other
food & grocery,Other
buffet restaurant,Other
food truck,Other
dessert shop,Dessert
cafeteria,Cafe
filipino restaurant,Other
malaysian restaurant,Other
cupcake shop,Dessert
hookah bar,Bar
gastropub,Bar
food/beverages,Other
vineyard,Bar
donut shop,Dessert
afghan restaurant,Middle Eastern
indonesian restaurant,Other
american restaurant,American
snack place,American
wine shop,Bar
german restaurant,Other
turkish restaurant,Middle Eastern
cocktail bar,Bar
vegetarian/vegan restaurant,Vegetarian
dive bar,Bar
food/grocery,Other
food,Other
argentinian restaurant,Other
hotel,Other
wine bar,Bar
mongolian restaurant,Chinese
thai restaurant,Other
restaurant,Other
swiss restaurant,Other
coffee shop,Cafe
japanese restaurant,Japanese
molecular gastronomy restaurant,Other
burrito place,Mexican
ice cream parlor,Dessert
arepa restaurant,Other
bar,Bar
gourmet shop,Other
salad,Sandwiches & Salads
salad shop,Sandwiches & Salads
korean restaurant,Other
winery/vineyard,Bar
wings joint,American
inn,Other
new american restaurant,American
ice cream shop,Dessert
café,Cafe
cajun / creole restaurant,American
wineries,Bar
ramen /  noodle house,Chinese
winery,Bar
family style restaurant,Other
sushi restaurant,Japanese
vegetarian / vegan restaurant,Vegetarian
kosher restaurant,Other
bagel shop,Other
fish & chips shop,Other
moroccan restaurant,Other
soup place,Other
vietnamese restaurant,Other
australian restaurant,Other
eastern european restaurant,Other
paella restaurant,Other
food/beverage,Other
sports bar,Bar
steakhouse,Steakhouse
dumpling restaurant,Chinese
hot dog joint,American
italian restaurant,Italian
tapas restaurant,Other
spanish restaurant,Other
food & restaurant,Other
peruvian restaurant,Other
food court,Other
sandwich place,Sandwiches & Salads
portuguese restaurant,Other
tea room,Cafe
cafe,Cafe
south american restaurant,Other
local business,Other
juice bar,Other
lounge,Bar
gluten-free restaurant,Other
karaoke bar,Bar
ethiopian restaurant,Middle Eastern
bbq joint,BBQ
mexican restaurant,Mexican
restaurant/cafe,Cafe
chinese restaurant,Chinese
latin american restaurant,Other
taiwanese restaurant,Other
sandwich shop,Sandwiches & Salads
night club,Bar
piano bar,Bar
beer garden,Bar
hotel bar,Bar
barbecue restaurant,BBQ
food & drink shop,Other
falafel restaurant,Middle Eastern
bakeries,Other
pub,Bar
african restaurant,Other
jazz club,Bar
middle eastern restaurant,Middle Eastern
lounges,Bar
dim sum restaurant,Chinese
sake bar,Bar
mac & cheese joint,American
salad place,Sandwiches & Salads
whisky bar,Bar
bar & grill,Bar
scandinavian restaurant,Other
french restaurant,French
diner,Other
breakfast & brunch restaurant,Other
burger joint,Burgers
college cafeteria,Cafe
indian restaurant,Indian
taco place,Mexican
nightclub,Bar
chicken restaurant,Other
gay bar,Bar
bakery,Other
seafood restaurant,Seafood
fried chicken joint,American
cheese shop,Other
mediterranean restaurant,Middle Eastern
